Order;Group;Text;Description;Date;Notes
1;Creative Union;Narrator;Synthesised narrator generated from Creative Union archive texts;;
2;Creative Union;Quixote Field;Quixote as a brand;;
3;Creative Union;Tale;Fragment of a story about a party interrupted by a power cut. You offer to tell a story. A clock strikes 13.;;
4;Creative Union;Trumpet of Love;Proposal for a Trumpet of Love art gallery for the Quixote.;;
5;Creative Union;Videodisc;Notation for interactive videodisc.;1985;
6;Creative Union;Light Eater;Wolfie eats light.;;
7;Creative Union;List;Some categories.;;
8;Creative Union;Creative Union;Michael remembers the Famine wall.;;
9;Creative Union;Characters 1;Notes about the four main characters.;;
10;Creative Union;Characters 2;Short notes about the four main characters.;;
11;Creative Union;Airport;Notes about visualisation and the imagination.;;
12;Paddington;Sham Authority;Notes about authority.;;
13;Paddington;Fact is, dearest;Two quotes from Emma Goldman.;;"Letter to Alexander Berkman Majorities vs. Minorities (1917)"
14;Paddington;Berkman;Wolfie describes Michael reading the copy of Alexander Berkman’s Prison Memoirs of an Anarchist that Emma Goldman deposited in the British Library.;;
15;Paddington;Sepia;Old photograph of Don Miguel’s room in 10 Paddington Green with notes to find someone like Michael written on a blackboard.;;
16;Paddington;Monsieur de Bacounine;Bakunin’s business card.;;
17;Paddington;Oysters;Jimmy Joys describes Bakunin’s arrival in London.;;
18;Paddington;10 Paddington Green;10 Paddington Green landlady and maid.;;
19;Zurichberg;Postcard 2;Letter from Janet to Michael describing meeting Weiß.;;
20;Zurichberg;Letter;Letter from Janet to Michael describing life with Weiß and apologising for not doing the interview with Michael.;August 1986;
21;Zurichberg;Avoriaz;Janet describes sex with Weiß and marriage proposal.;;
22;Zurichberg;Business Letter;Letter from Weiß to business partner requesting extras for forthcoming snuff movie.;;
23;Zurichberg;Kloten;Janet describes flying off on her honeymoon with Weiß.;;
24;Zurichberg;Memory;Janet discovers that Weiß is making a snuff movie. She loses her eyesight and is rescued by delicate jungle people who massacred the film crew.;;
25;Zurichberg;Weiß;Weiß kills a wasp mid fuck.;;
26;Zurichberg;Zurichberg 1;Traumatised Janet returns to Weiß’s home.;;
27;Zurichberg;Zurichberg 2;Janet starts to recover. Thinks of home. Wonders if she is rich.;;
28;Zurichberg;Dear Dad;Letter from Janet to her father declining to return home. She is thinking how to use Weiß’s money.;;
29;Ireland;Agnvs Lvpatvs;Wolfie explores the rubbish at the British Library and finds some old pamphlets maybe about himself.;;
30;Ireland;Experiment;Official document reporting on an immolation experiment.;;Photo of Michael in immolation device.
31;Ireland;Pages;Some pages recording an encounter with an fiery angel. ;;
32;Ireland;Glinty;Michael reminiscing about acid trips in Belfast.;;
33;Ireland;Shantyboats;How Belfast Lough became a china town. ;;
34;Ireland;Paddy O'Doors;Obscure note about a builder.;;
35;Ireland;Hanky Panky;Michael remembers getting naked in the bushes.;;
36;Ireland;Green Manse;Michael remembers his mother.;;
37;Ireland;Fragment;A text fragment recording thoughts of a struggling believer.;;
38;Ireland;Drumbog;Biography of Michael by Don Miguel explaining the start of their acquaintance.;;
39;Ireland;Dear George;A letter to an unknown George perhaps from Michael.;;
40;Ireland;Drogheda Prison;A text written in Drogheda Prison, presumably by Bishop Wolfie.;;
41;Ireland;Damaged Fragment 1;Text fragment recording renunciation of involvement in war.;16??;
42;Ireland;Damaged Fragment 2;Text fragment recording some fervent defence of the poor in Limerick.;;
43;Ireland;Bad Vibes Here;Tape recording of Michael describing when he wrote on the Inst lawn with weedkiller;;Kerrywhack is Kerouac
44;Ireland;Bishop Wolfie;Letter describing the appearance of a preacher and a being of light in Enniskillen,;;
45;Ireland;Blarney;Michael reminiscing about the day Rev. Edward and Blarney built his tree house.;;
46;Ireland;Contents;Fragments from the Contents pages of a Bishop Wolfie biography.;;
47;Ireland;Wolfie's story 1;Wolfie talks about his childhood in Fermanagh.;;
48;Ireland;Wolfie's story 2;Wolfie tells why he left for London.;;
49;Barcelona;Libertad;Tape recording of Don Miguel describes how he met Dr Mosquito.;;
50;Barcelona;Memorial;Description of the Creative Union Archive in Don Miguel’s beret.;;
51;Barcelona;Vertigo;Miguel admonishing Michael not to constrain his creativity.;;
52;Barcelona;Value 1;Michael gets drunk on the Santa Maria in Barcelona while Don Miguel lectures him.;;
53;Barcelona;Santa Maria;Michael staggers around in Barcelona with a hangover.;;
54;Barcelona;Barcelona Journal;Some Super8 and journal entries recording Don Miguel and Wolfie’s train trip to Barcelona.;;
55;Barcelona;69;At 69 Don Miguel has little hope except to preserve the Anarchist Ideal in Art.;;
56;Barcelona;The Black Yacht;Some short notes about the Black Yacht.;;
57;London;Hungerford 1;Michael hard up and homeless in London, wondering where Janet has gone.;;
58;London;Hungerford 2;Homeless Michael’s drunken mumblings.;;
59;London;Kew;By the Thames at Kew, Don Miguel gives Michael a burst of orgone from his finger.;;
60;London;Dear Bishop;A letter from Michael to an unnamed Bishop.;;
61;London;Dark;Michael searching for something in 17 Saltoun Road.;;
62;London;D.O.R.;Gloomy cloud of chimney sweep souls.;;
63;London;South Bank;Don Miguel tells how a dark cloud approached him in his youth.;;
64;London;Brixton;A religious incident on a delayed train on the Victoria Line.;;
65;London;Cutthacrap;Short film of Don Miguel on Holland Park Avenue.;;
66;London;Culture;Some notes about Art and language.;;
67;London;Utterances;Some long words containing a hidden warning about a nuclear missiles.;;There’s this man going around making sculptures. Says there ain’t going to be a performance, but they are all built to perform. I tell you they’s expensive enough as they are. He’s got them all dotted around the countryside ready to blast off, and I tell you, yon performance, if he ever does it, is going to knock the shit out of you.
68;France;Artist;Don Miguel’s notes about the kind of artist he needs to find.;;
69;France;Postcard 1;Michael sends Janet a postcard from Paris.;;
70;France;Line drawing;Drawing of Don Miguel and Michael in front of Charles Degeorge’s sculpture of Young Aristotle.;;
71;France;Postcard 3;Photograph of a scrap of paper on a table signed Vincent.;;
72;France;Beaux-Arts;List of French words about the fine arts.;;
73;France;World Nudes;The Irish delegate walks out of an international summit meeting.;;
74;Holland Park;Ghost;Fragment of a transcription of a tape recording describing the appearance of a chimney sweep ghost.;;
75;Holland Park;Holland Park 1;Agreement to exchange portrait posing for haircuts. Don Miguel’s signature.;;
76;Holland Park;Holland Park 2;Promotional letter from Don Miguel offering an anarchist haircut.;1985;
77;Holland Park;Photo + Tape;Photo of Don Miguel and Wolfie walking in Holland Park with a tape-recording of them shouting about the oral tradition.;;
78;Holland Park;Conversation 1;Transcription of a recorded conversation between Janet and Don Miguel about anarchist barbering.;;
79;Holland Park;Conversation 2;Transcription of a recorded conversation between Janet and Michael about Don Miguel’s childhood vision.;;
80;Holland Park;Tape 1;Transcription of a recorded conversation during a chess game. Don Miguel describes his archive system to Michael.;;
81;Michael;Everything is language;A short list of some ideas about language.;;
82;Michael;Fruit;A comparison of to strategies for seed distribution.;;
83;Michael;Glamour;Some notes about the meta structure of glamour.;;
84;Michael;God's an hanarkist;Rant about God being an anarchist.;;
85;Michael;Homemade;Recipe for a homemade volcano.;;
86;Michael;Hymnal Scan;List of words taken from the Church Hymnal.;;
87;Michael;Poster;Some slogans for a poster.;;
88;Michael;love yr enemy;Plan for a prison escape.;;
89;Michael;Love;Some notes about love and relationships.;;
90;Michael;Malfuckioning Technolology;Things go wrong.;;
91;Michael;Michael;Biographical note about Michael’s life up to the death of his mother.;;See Drumbog text and scans
92;Michael;St Vincent’s Asylum;Michael’s psychiatrist.;;"Can’t find scan VVG to TVG: Tersteeg said that what I was doing was a waste of time"
93;Michael;Michael's Handwriting 1;Homage to Empress Hibernia. ;;
94;Michael;Michael's Handwriting 2;Note about the differences between North and South.;;
95;Michael;Michael's Handwriting 3 ;Two soldiers talking about their job.;;
96;Michael;Michael's Handwriting 4;Failed attempt to preserve the Malone Golf Club from the impending earthquake.;;
97;Michael;Michael's Handwriting 5;Timeline of the Belfast earthquake.;;
98;Michael;Michael's last tape;Michael's last tape for Janet. Ranting about guns.;;
99;Michael;Michael's scraps;Janet tries to organise Michael’s archive.;;
100;Michael;Michael's Songs 1;Songs and poems.;;
101;Michael;Michael's Songs 2;Songs and poems.;;
102;Michael;Mitching;Michael runs away to Europe and becomes a rent boy. Eventually returns home.;;
103;Michael;Notebook Page;Notes about language learning.;;
104;Michael;Nothing;Negate negation.;;
105;Michael;Pamphleteer;Beginning of a ballad.;;
106;Michael;Penpals;List of penpals.;;
107;Michael;Reality Market;The competition between reality and imagination.;;
108;Michael;Studio;Some glimpses of Michael’s studio.;;
109;Michael;Streatham Meeting;Tape recording of Michael speaking at a Quaker meeting in Streatham.;;
110;Michael;T-Shirts;Some T-shirt ideas.;;
111;Michael;Takes one to know one;Note about awareness.;;
112;Michael;The new arrivals;The redeeming presence of cuteness.;;
113;Michael;Titles;Janet looks at titles for paintings that Michael had written on the back of ticket stubs.;;
114;Michael;Toshing;Manual labour. Painting and decorating.;;
115;Michael;Value 2;Michael makes a scene in the National Gallery in front of Van Gogh’s Sunflowers.;;
116;Janet;Janet's Journal 2;Janet’s journal entry about a conversation with Michael about memory and imagination.;;
117;Janet;Janet's Journal 3;Janet’s journal entry recording her concerns about Michael.;;
118;Janet;Janet's Journal 4;Janet’s journal entry recording Michael’s breakdown.;;
119;Janet;Free Journalist;Atypical manifesto from Janet about free journalism.;;Underscore spacing
120;Janet;Janet sorting;Janet underlining phrases from Michael’s Creative Union notes.;;
121;Janet;Janet's Journal 1;Janet's journal entry about Michael’s attempts to get noticed.;;
122;Janet;Report;Press release from Janet’s lawyers detailing the reasons for her self-launch as a free journalist.;;Conflicts with Zurichberg 1
123;Janet;Dragd me down Pdilly;Michael has an idea to become an English teacher abroad.;;
124;Janet;Estab's Yahoo farm;Outline for a study of a Yahoo farm.;;
125;Janet;Noise in the street;Attack on journalism.;;
126;Janet;History;Note about the interview between Janet, Michael, Don Miguel and Wolfie.;;
127;Janet;History of Value;Some opaque notes about internal and external value.;;
128;Don Miguel;Diabrete 1;Don Miguel's diet;;
